代码		名称    		涨幅%		现价		涨跌		涨速%		DDE净量		总手		换手%		量比		所属行业		现手		开盘		昨收		最高		最低		买价		卖价		市盈(动)		市净率		买量		卖量		委比%		振幅%		金额		均笔额		笔数		手/笔		外盘		内盘		总市值		流通市值		贡献度		
SH600435	北方导航	+1.11		10.95		+0.12		--		-0.10		26707118	1.79		0.74		国防军工	3100--		10.80		10.83		11.03		10.53		10.94		10.96		亏损		7.74		6003		54788		-43.68		4.62		289,543,590	13488.47	21466		1244		14017809	12689309	16308054000	16308054000	--		
SH600436	片仔癀		+4.83		93.46		+4.31		--		0.14		10353823	1.72		2.47		中药		3200--		90.51		89.15		97.00		90.51		93.43		93.44		43.23		12.70		300		1500		-60.82		7.28		973,173,870	40831.33	23834		434		5462054		4891769		56386026447	56386026447	--		
SH600438	通威股份	-1.17		11.78		-0.14		--		-0.12		29599945	1.06		0.70		电气设备	2300--		12.05		11.92		12.06		11.63		11.78		11.79		35.69		3.35		100		36900		-12.89		3.61		350,110,790	19176.80	18257		1621		14440027	15159918	45734344516	32777630892	--		
SH600446	金证股份	+1.87		16.37		+0.30		--		-0.04		11343935	1.42		0.83		计算机应用	1300--		15.95		16.07		16.50		15.64		16.35		16.36		亏损		8.04		13100		40100		-48.23		5.35		183,238,670	19614.50	9342		1214		5818391		5525544		13967055558	13119073515	--		
SH600452	涪陵电力	-2.28		33.88		-0.79		--		0.00		666400		0.417		1.39		电力		300--		34.50		34.67		34.50		33.42		33.85		33.89		21.82		4.47		4600		200		-30.31		3.12		22,568,425	18917.37	1193		559		244700		421700		5420800000	5420800000	--		
SH600460	士兰微		-3.34		15.90		-0.55		--		-1.39		82936255	6.65		0.89		半导体及元件	100--		16.72		16.45		16.78		15.50		15.88		15.89		167.5		6.21		62400		17100		-25.33		7.78		1,329,368,060	17868.09	74399		1115		40332622	42603633	20861779599	19829971200	--		
SH600461	洪城水业	+1.89		6.48		+0.12		--		-0.01		8218477		1.38		1.30		燃气水务	1000--		6.44		6.36		6.61		6.37		6.49		6.50		13.84		1.55		11100		17500		-43.06		3.77		53,675,398	9169.01		5854		1404		4545146		3673331		5116566722	3849120000	--		
SH600468	百利电气	+1.10		6.42		+0.07		--		0.04		6407355		0.802		0.47		电气设备	2500--		6.30		6.35		6.54		6.30		6.43		6.44		78.37		2.85		15300		16400		-27.14		3.78		41,286,822	13581.19	3040		2108		3356219		3051136		5207348798	5125926827	--		
SH600476	湘邮科技	+9.99		18.94		+1.72		--		0.35		6521408		4.05		1.34		计算机应用	3500--		18.08		17.22		18.94		18.00		18.94		--		亏损		15.74		4339160		0		+100.00		5.46		121,065,331	22799.50	5310		1228		3174195		3347213		3050665800	3050665800	--		
SH600483	福能股份	-0.12		8.00		-0.01		--		-0.02		1539803		0.122		0.57		电力		500--		8.01		8.01		8.07		7.90		7.99		8.00		14.71		1.16		10200		5534		-30.02		2.12		12,301,535	9098.77		1352		1139		567787		972016		12414604800	10066778560	--		
SH600486	扬农化工	+0.56		51.92		+0.29		--		0.01		2814486		0.908		0.82		化学制品	4500--		52.11		51.63		53.20		51.18		51.91		51.92		14.67		3.85		1000		2300		+41.40		3.91		146,572,310	18473.95	7934		355		1223843		1590643		16089951407	16089951407	--		
SH600501	航天晨光	-1.87		10.52		-0.20		--		-0.13		5682778		1.40		0.68		专用设备	400--		10.77		10.72		10.84		10.18		10.52		10.53		663.2		2.01		300		11400		+41.54		6.16		59,462,097	13410.49	4434		1282		2430019		3252759		4431903472	4280415472	--		
SH600518	康美药业	+1.95		22.49		+0.43		--		0.03		11959524	0.272		1.68		中药		1000--		22.03		22.06		22.52		22.00		22.49		22.50		19.65		3.66		190100		470000		-64.41		2.36		267,308,980	20287.57	13176		908		7758892		4200632		111870965713	99027788080	--		
SH600520	文一科技	+0.25		20.36		+0.05		--		-0.01		5605729		3.54		0.67		通用设备	200--		20.80		20.31		21.59		20.32		20.35		20.36		亏损		7.53		2700		28600		-50.30		6.25		116,765,044	15738.65	7419		756		2855479		2750250		3225634800	3225634800	--		
SH600521	华海药业	-0.57		34.88		-0.20		--		0.01		10574579	1.03		1.12		化学制药	300--		34.74		35.08		36.18		34.46		34.88		34.90		56.16		7.21		400		300		+41.56		4.90		374,321,020	30823.54	12144		871		4928927		5645652		36362062710	35820809171	--		
SH600525	长园集团	-1.88		17.74		-0.34		--		-0.02		11517340	0.919		0.51		电气设备	2200--		18.10		18.08		18.20		17.45		17.68		17.70		72.77		2.85		1000		8600		-64.94		4.15		204,450,590	25866.72	7904		1457		4832426		6684914		23499772641	22236063031	--		
SH600528	中铁工业	+0.79		11.44		+0.09		--		0.12		13519337	0.736		1.07		专用设备	800--		11.35		11.35		11.52		11.22		11.40		11.43		19.33		1.71		200		800		-83.67		2.64		153,844,780	21586.19	7127		1897		7045894		6473443		25414550304	21023847416	--		
SH600529	山东药玻	+1.08		20.58		+0.22		--		-0.05		1850900		0.719		0.60		医疗器械服务	1500--		20.44		20.36		20.75		20.29		20.58		20.59		18.80		1.87		100		2400		-13.94		2.26		38,064,302	16322.60	2332		794		745600		1105300		6247161283	5296882664	--		
SH600530	交大昂立	-0.17		5.87		-0.01		--		-0.01		7161145		0.918		0.62		生物制品	200--		5.86		5.88		5.93		5.77		5.87		5.88		36.96		2.85		4750		2800		-61.61		2.72		41,895,299	10913.08	3839		1865		2681270		4479875		4578600000	4578600000	--		
SH600533	栖霞建设	+3.15		4.59		+0.14		--		0.01		18172400	1.73		1.14		房地产开发	100--		4.46		4.45		4.74		4.39		4.59		4.60		亏损		1.29		22900		223600		-50.09		7.87		83,571,278	11962.68	6986		2601		10340300	7832100		4819500000	4819500000	--		
SH600535	天士力		+0.09		44.53		+0.04		--		-0.02		7294763		0.675		0.84		中药		100--		44.72		44.49		45.30		44.01		44.51		44.57		32.38		5.33		4400		3000		+9.25		2.90		325,236,070	26279.58	12376		589		3461924		3832839		48113590936	48113590936	--		
SH600538	国发股份	+0.51		5.88		+0.03		--		-0.01		2716600		0.585		0.86		化学制药	500--		5.85		5.85		5.93		5.80		5.87		5.88		5600		4.14		29300		45400		-54.72		2.22		15,980,164	16646.00	960		2830		1689200		1027400		2730678997	2730678997	--		
SH600555	海航创新	+10.04		5.81		+0.53		--		3.14		141415360	14.53		1.38		房地产开发	3400--		5.43		5.28		5.81		5.35		5.81		--		亏损		5.51		617600		0		+100.00		8.71		813,926,920	16607.03	49011		2885		65654246	75761114	7573335000	5656035000	--		
SH600557	康缘药业	-4.18		13.28		-0.58		--		-0.28		10474143	1.75		2.69		中药		4200--		13.68		13.86		13.68		12.91		13.22		13.29		21.63		2.29		2800		5700		-81.33		5.56		138,712,850	19389.55	7154		1464		5715582		4758561		8186444314	7948494867	--		
SH600562	国睿科技	-4.48		27.71		-1.30		--		-0.62		17690516	5.40		0.93		国防军工	9400--		28.65		29.01		28.97		26.11		27.65		27.73		189.2		7.34		4300		2195		-19.67		9.86		480,405,460	23878.20	20119		879		7521317		10169199	13265644877	9079068997	--		
SH600563	法拉电子	+3.30		45.09		+1.44		--		0.17		3060477		1.36		1.46		半导体及元件	400--		43.84		43.65		45.26		43.84		45.09		45.10		26.27		4.28		3600		8500		-4.00		3.25		136,545,110	22170.01	6159		497		1730923		1329554		10145250000	10145250000	--		
SH600566	济川药业	-1.24		50.26		-0.63		--		-0.05		5748693		0.710		0.99		化学制药	600--		50.90		50.89		52.49		49.48		50.25		50.32		21.79		8.60		1200		300		+11.11		5.91		292,386,360	25015.94	11688		492		2332156		3416537		40691702240	40691702240	--		
SH600570	恒生电子	+2.92		60.88		+1.73		--		0.09		20832802	3.37		0.92		计算机应用	6100--		59.74		59.15		61.52		57.70		60.89		60.91		163.9		11.93		2100		10700		-12.69		6.46		1,248,371,040	40914.10	30512		683		10744842	10087960	37611979358	37611979358	--		
